smiles,IC50(nM)
"COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2cc(C)c(CN3CC(C)(O)C3)c(OC)n2)c(Cl)cc1CN1CC2(CCC1CC2)C(O)=O |r,wD:6.5,(-6.26,-4.75,;-7.59,-3.98,;-7.59,-2.44,;-6.26,-1.67,;-6.26,-.13,;-4.93,.64,;-3.59,-.13,;-2.97,-1.54,;-1.43,-1.38,;-1.11,.13,;-2.45,.9,;-2.45,2.44,;-1.11,3.21,;.22,2.44,;.22,.9,;1.55,.13,;1.55,-1.41,;2.89,-2.18,;4.22,-1.41,;4.22,.13,;2.89,.9,;2.89,2.44,;5.55,.9,;5.55,2.44,;6.89,3.21,;6.89,4.75,;8.22,2.44,;9.55,3.21,;10.89,2.44,;11.29,.95,;12.77,1.35,;13.17,-.14,;14.26,1.75,;12.38,2.84,;8.22,.9,;9.55,.13,;9.55,-1.41,;6.89,.13,;-7.59,.64,;-7.59,2.18,;-8.93,-.13,;-8.93,-1.67,;-10.26,-2.44,;-11.59,-1.67,;-11.59,-.13,;-12.93,.64,;-14.26,-.13,;-14.26,-1.67,;-12.93,-2.44,;-12.53,-1.3,;-13.7,-.69,;-12.93,2.18,;-14.26,2.95,;-11.59,2.95,)|",100
"COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2cc(C)c(CN3CC(C)(O)C3)c(OC)n2)c(Cl)cc1CN1CC2(CCC1CC2)C(O)=O |r,wD:6.5,(-6.26,-4.75,;-7.59,-3.98,;-7.59,-2.44,;-6.26,-1.67,;-6.26,-.13,;-4.93,.64,;-3.59,-.13,;-2.97,-1.54,;-1.43,-1.38,;-1.11,.13,;-2.45,.9,;-2.45,2.44,;-1.11,3.21,;.22,2.44,;.22,.9,;1.55,.13,;1.55,-1.41,;2.89,-2.18,;4.22,-1.41,;4.22,.13,;2.89,.9,;2.89,2.44,;5.55,.9,;5.55,2.44,;6.89,3.21,;6.89,4.75,;8.22,2.44,;9.55,3.21,;10.89,2.44,;11.29,.95,;12.77,1.35,;13.17,-.14,;14.26,1.75,;12.38,2.84,;8.22,.9,;9.55,.13,;9.55,-1.41,;6.89,.13,;-7.59,.64,;-7.59,2.18,;-8.93,-.13,;-8.93,-1.67,;-10.26,-2.44,;-11.59,-1.67,;-11.59,-.13,;-12.93,.64,;-14.26,-.13,;-14.26,-1.67,;-12.93,-2.44,;-12.53,-1.3,;-13.7,-.69,;-12.93,2.18,;-14.26,2.95,;-11.59,2.95,)|",0.08
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2cc(C)c(CN3CC(C)(O)C3)c(OC)n2)c(Cl)cc1CN1CC[C@H](C1)C(O)=O |r|,24
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2cc(C)c(CN3CC(C)(O)C3)c(OC)n2)c(Cl)cc1CN1CC[C@H](C1)C(O)=O |r|,0.064
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2cc(C)c(CN3CC(C)(O)C3)c(OC)n2)c(Cl)cc1CN1CC(C1)C(O)=O |r|,59
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2cc(C)c(CN3CC(C)(O)C3)c(OC)n2)c(Cl)cc1CN1CC(C1)C(O)=O |r|,0.113
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2cc(C)c(CN3CC(C)(O)C3)c(OC)n2)c(Cl)cc1CN1CC[C@@H](C1)C(O)=O |r|,18
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2cc(C)c(CN3CC(C)(O)C3)c(OC)n2)c(Cl)cc1CN1CC[C@@H](C1)C(O)=O |r|,0.064
"COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC3(CCC2CC3)C(O)=O)cc1C(F)(F)F |r,wU:11.11,wD:29.37,(3.95,5.14,;5.29,4.37,;5.29,2.83,;3.95,2.06,;3.95,.52,;5.29,-.25,;6.62,.52,;6.62,2.06,;7.95,2.83,;9.29,2.06,;10.62,2.83,;11.95,2.06,;11.95,.52,;13.42,.04,;14.32,1.29,;15.86,1.29,;13.42,2.53,;2.62,-.25,;2.62,-1.79,;1.28,-2.56,;-.05,-1.79,;-.05,-.25,;1.28,.52,;1.28,2.06,;-1.38,.52,;-1.38,2.06,;-2.72,2.83,;-4.05,2.06,;-4.05,.52,;-5.19,-.52,;-4.57,-1.92,;-3.04,-1.76,;-2.72,-.25,;-6.53,.25,;-7.86,-.52,;-7.86,-2.06,;-9.2,-2.83,;-9.2,-4.37,;-7.86,-5.14,;-10.53,-2.06,;-11.86,-2.83,;-13.2,-2.06,;-13.2,-.52,;-14.53,.25,;-15.86,-.52,;-15.86,-2.06,;-14.53,-2.83,;-14,-1.72,;-14,-.66,;-14.53,1.79,;-15.86,2.56,;-13.2,2.56,;-10.53,-.52,;-9.2,.25,;-9.2,1.79,;-10.53,2.56,;-7.86,2.56,;-9.2,3.33,)|",13
"COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC3(CCC2CC3)C(O)=O)cc1C(F)(F)F |r,wU:11.11,wD:29.37,(3.95,5.14,;5.29,4.37,;5.29,2.83,;3.95,2.06,;3.95,.52,;5.29,-.25,;6.62,.52,;6.62,2.06,;7.95,2.83,;9.29,2.06,;10.62,2.83,;11.95,2.06,;11.95,.52,;13.42,.04,;14.32,1.29,;15.86,1.29,;13.42,2.53,;2.62,-.25,;2.62,-1.79,;1.28,-2.56,;-.05,-1.79,;-.05,-.25,;1.28,.52,;1.28,2.06,;-1.38,.52,;-1.38,2.06,;-2.72,2.83,;-4.05,2.06,;-4.05,.52,;-5.19,-.52,;-4.57,-1.92,;-3.04,-1.76,;-2.72,-.25,;-6.53,.25,;-7.86,-.52,;-7.86,-2.06,;-9.2,-2.83,;-9.2,-4.37,;-7.86,-5.14,;-10.53,-2.06,;-11.86,-2.83,;-13.2,-2.06,;-13.2,-.52,;-14.53,.25,;-15.86,-.52,;-15.86,-2.06,;-14.53,-2.83,;-14,-1.72,;-14,-.66,;-14.53,1.79,;-15.86,2.56,;-13.2,2.56,;-10.53,-.52,;-9.2,.25,;-9.2,1.79,;-10.53,2.56,;-7.86,2.56,;-9.2,3.33,)|",0.064
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC[C@H](C2)C(O)=O)cc1C(F)(F)F |r|,6
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC[C@H](C2)C(O)=O)cc1C(F)(F)F |r|,0.064
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2ccc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)c(cc1CN1CC(C1)C(O)=O)C(F)(F)F |r|,11
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2ccc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)c(cc1CN1CC(C1)C(O)=O)C(F)(F)F |r|,0.064
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CCC(C2)NC(C)=O)cc1Cl |r|,73
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CCC(C2)NC(C)=O)cc1Cl |r|,0.076
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OCc2cncc(c2)C#N)c(CN2CC[C@@H](C2)C(O)=O)cc1Cl |r|,24
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OCc2cncc(c2)C#N)c(CN2CC[C@@H](C2)C(O)=O)cc1Cl |r|,0.064
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OCc2cncc(c2)C#N)c(CN2CC[C@H](C2)C(O)=O)cc1Cl |r|,44
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OCc2cncc(c2)C#N)c(CN2CC[C@H](C2)C(O)=O)cc1Cl |r|,0.064
"COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OCc2cncc(c2)C#N)c(CN2CC3(CCC2CC3)C(O)=O)cc1Cl |r,wU:11.11,wD:29.37,(8.17,1.86,;8.17,3.4,;6.84,4.17,;5.5,3.4,;4.17,4.17,;4.17,5.71,;5.5,6.48,;6.84,5.71,;8.17,6.48,;9.5,5.71,;10.84,6.48,;12.17,5.71,;12.17,4.17,;13.64,3.69,;14.54,4.94,;16.08,4.94,;13.64,6.18,;2.84,3.4,;2.84,1.86,;1.5,1.09,;.17,1.86,;.17,3.4,;1.5,4.17,;1.5,5.71,;-1.17,4.17,;-1.17,5.71,;-2.5,6.48,;-3.83,5.71,;-3.83,4.17,;-4.98,3.14,;-4.35,1.73,;-2.82,1.89,;-2.5,3.4,;-6.47,3.54,;-7.55,2.45,;-7.16,.96,;-8.24,-.13,;-7.85,-1.62,;-6.36,-2.02,;-5.96,-3.5,;-7.05,-4.59,;-6.65,-6.08,;-5.16,-6.48,;-4.07,-5.39,;-4.47,-3.9,;-2.59,-5.79,;-1.1,-6.19,;-9.73,.27,;-10.82,-.82,;-12.31,-.42,;-12.71,1.07,;-14.19,1.46,;-15.28,.38,;-14.88,-1.11,;-13.4,-1.51,;-14.49,-.42,;-13.11,.38,;-14.59,2.95,;-16.08,3.35,;-13.5,4.04,;-10.13,1.76,;-9.04,2.85,;-9.44,4.33,)|",37
"COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OCc2cncc(c2)C#N)c(CN2CC3(CCC2CC3)C(O)=O)cc1Cl |r,wU:11.11,wD:29.37,(8.17,1.86,;8.17,3.4,;6.84,4.17,;5.5,3.4,;4.17,4.17,;4.17,5.71,;5.5,6.48,;6.84,5.71,;8.17,6.48,;9.5,5.71,;10.84,6.48,;12.17,5.71,;12.17,4.17,;13.64,3.69,;14.54,4.94,;16.08,4.94,;13.64,6.18,;2.84,3.4,;2.84,1.86,;1.5,1.09,;.17,1.86,;.17,3.4,;1.5,4.17,;1.5,5.71,;-1.17,4.17,;-1.17,5.71,;-2.5,6.48,;-3.83,5.71,;-3.83,4.17,;-4.98,3.14,;-4.35,1.73,;-2.82,1.89,;-2.5,3.4,;-6.47,3.54,;-7.55,2.45,;-7.16,.96,;-8.24,-.13,;-7.85,-1.62,;-6.36,-2.02,;-5.96,-3.5,;-7.05,-4.59,;-6.65,-6.08,;-5.16,-6.48,;-4.07,-5.39,;-4.47,-3.9,;-2.59,-5.79,;-1.1,-6.19,;-9.73,.27,;-10.82,-.82,;-12.31,-.42,;-12.71,1.07,;-14.19,1.46,;-15.28,.38,;-14.88,-1.11,;-13.4,-1.51,;-14.49,-.42,;-13.11,.38,;-14.59,2.95,;-16.08,3.35,;-13.5,4.04,;-10.13,1.76,;-9.04,2.85,;-9.44,4.33,)|",0.064
"COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(-c2cccc3[C@H](CCc23)Oc2nc(OC)c(CN3CC4(CCC3CC4)C(O)=O)cc2Cl)c1C#N |r,wU:11.11,wD:27.34,(3.95,5.14,;5.29,4.37,;5.29,2.83,;3.95,2.06,;3.95,.52,;5.29,-.25,;6.62,.52,;6.62,2.06,;7.95,2.83,;9.29,2.06,;10.62,2.83,;11.95,2.06,;11.95,.52,;13.42,.04,;14.32,1.29,;15.86,1.29,;13.42,2.53,;2.62,-.25,;2.62,-1.79,;1.28,-2.56,;-.05,-1.79,;-.05,-.25,;-1.38,.52,;-1.38,2.06,;-2.72,2.83,;-4.05,2.06,;-4.05,.52,;-5.19,-.52,;-4.57,-1.92,;-3.04,-1.76,;-2.72,-.25,;-6.53,.25,;-7.86,-.52,;-7.86,-2.06,;-9.2,-2.83,;-9.2,-4.37,;-7.86,-5.14,;-10.53,-2.06,;-11.86,-2.83,;-13.2,-2.06,;-13.2,-.52,;-14.53,.25,;-15.86,-.52,;-15.86,-2.06,;-14.53,-2.83,;-14,-1.72,;-14,-.66,;-14.53,1.79,;-15.86,2.56,;-13.2,2.56,;-10.53,-.52,;-9.2,.25,;-9.2,1.79,;1.28,.52,;1.28,2.06,;1.28,3.6,)|",37
"COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(-c2cccc3[C@H](CCc23)Oc2nc(OC)c(CN3CC4(CCC3CC4)C(O)=O)cc2Cl)c1C#N |r,wU:11.11,wD:27.34,(3.95,5.14,;5.29,4.37,;5.29,2.83,;3.95,2.06,;3.95,.52,;5.29,-.25,;6.62,.52,;6.62,2.06,;7.95,2.83,;9.29,2.06,;10.62,2.83,;11.95,2.06,;11.95,.52,;13.42,.04,;14.32,1.29,;15.86,1.29,;13.42,2.53,;2.62,-.25,;2.62,-1.79,;1.28,-2.56,;-.05,-1.79,;-.05,-.25,;-1.38,.52,;-1.38,2.06,;-2.72,2.83,;-4.05,2.06,;-4.05,.52,;-5.19,-.52,;-4.57,-1.92,;-3.04,-1.76,;-2.72,-.25,;-6.53,.25,;-7.86,-.52,;-7.86,-2.06,;-9.2,-2.83,;-9.2,-4.37,;-7.86,-5.14,;-10.53,-2.06,;-11.86,-2.83,;-13.2,-2.06,;-13.2,-.52,;-14.53,.25,;-15.86,-.52,;-15.86,-2.06,;-14.53,-2.83,;-14,-1.72,;-14,-.66,;-14.53,1.79,;-15.86,2.56,;-13.2,2.56,;-10.53,-.52,;-9.2,.25,;-9.2,1.79,;1.28,.52,;1.28,2.06,;1.28,3.6,)|",0.064
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(-c3cnc(CNC[C@@H]4CCC(=O)N4)c(OC)n3)c2C#N)c(Cl)cc1CN1CC[C@H](C1)C(O)=O |r|,57
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(-c3cnc(CNC[C@@H]4CCC(=O)N4)c(OC)n3)c2C#N)c(Cl)cc1CN1CC[C@H](C1)C(O)=O |r|,0.064
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2ccc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)c(Cl)cc1CN1CC(C(O)=O)C2(CCOC2)C1 |r|,44
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2ccc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)c(Cl)cc1CN1CC(C(O)=O)C2(CCOC2)C1 |r|,0.064
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC(C(O)=O)C3(CCC3)C2)cc1Cl |r|,58
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC(C(O)=O)C3(CCC3)C2)cc1Cl |r|,0.064
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC(C(O)=O)C3(CC3)C2)cc1Cl |r|,38
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC(C(O)=O)C3(CC3)C2)cc1Cl |r|,0.064
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(-c2cccc3[C@H](CCc23)Oc2nc(OC)c(CN3CC[C@H](C3)C(O)=O)cc2Cl)c1C#N |r|,75
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(-c2cccc3[C@H](CCc23)Oc2nc(OC)c(CN3CC[C@H](C3)C(O)=O)cc2Cl)c1C#N |r|,0.064
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(-c3ccc(CNC[C@@H]4CCC(=O)N4)c(OC)n3)c2C#N)c(Cl)cc1CN1CC(C1)C(O)=O |r|,71
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(-c3ccc(CNC[C@@H]4CCC(=O)N4)c(OC)n3)c2C#N)c(Cl)cc1CN1CC(C1)C(O)=O |r|,0.064
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2ccc(CN3CC(C)(O)C3)c(OC)n2)c(Cl)cc1CN1CC(C1)C(=O)NS(C)(=O)=O |r|,124
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2ccc(CN3CC(C)(O)C3)c(OC)n2)c(Cl)cc1CN1CC(C1)C(=O)NS(C)(=O)=O |r|,0.088
COc1nc(ccc1CN1CC(C)(O)C1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC[C@H](C2)C(=O)NS(C)(=O)=O)cc1Cl |r|,105
COc1nc(ccc1CN1CC(C)(O)C1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC[C@H](C2)C(=O)NS(C)(=O)=O)cc1Cl |r|,0.064
"COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1C)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC3(CCC2CC3)C(O)=O)cc1Cl |r,wU:11.11,wD:29.37,(3.95,5.14,;5.29,4.37,;5.29,2.83,;3.95,2.06,;3.95,.52,;5.29,-.25,;6.62,.52,;6.62,2.06,;7.95,2.83,;9.29,2.06,;10.62,2.83,;11.95,2.06,;11.95,.52,;13.42,.04,;14.32,1.29,;15.86,1.29,;13.42,2.53,;2.62,-.25,;2.62,-1.79,;1.28,-2.56,;-.05,-1.79,;-.05,-.25,;1.28,.52,;1.28,2.06,;-1.38,.52,;-1.38,2.06,;-2.72,2.83,;-4.05,2.06,;-4.05,.52,;-5.19,-.52,;-4.57,-1.92,;-3.04,-1.76,;-2.72,-.25,;-6.53,.25,;-7.86,-.52,;-7.86,-2.06,;-9.2,-2.83,;-9.2,-4.37,;-7.86,-5.14,;-10.53,-2.06,;-11.86,-2.83,;-13.2,-2.06,;-13.2,-.52,;-14.53,.25,;-15.86,-.52,;-15.86,-2.06,;-14.53,-2.83,;-14,-1.72,;-14,-.66,;-14.53,1.79,;-15.86,2.56,;-13.2,2.56,;-10.53,-.52,;-9.2,.25,;-9.2,1.79,)|",74
"COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1C)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC3(CCC2CC3)C(O)=O)cc1Cl |r,wU:11.11,wD:29.37,(3.95,5.14,;5.29,4.37,;5.29,2.83,;3.95,2.06,;3.95,.52,;5.29,-.25,;6.62,.52,;6.62,2.06,;7.95,2.83,;9.29,2.06,;10.62,2.83,;11.95,2.06,;11.95,.52,;13.42,.04,;14.32,1.29,;15.86,1.29,;13.42,2.53,;2.62,-.25,;2.62,-1.79,;1.28,-2.56,;-.05,-1.79,;-.05,-.25,;1.28,.52,;1.28,2.06,;-1.38,.52,;-1.38,2.06,;-2.72,2.83,;-4.05,2.06,;-4.05,.52,;-5.19,-.52,;-4.57,-1.92,;-3.04,-1.76,;-2.72,-.25,;-6.53,.25,;-7.86,-.52,;-7.86,-2.06,;-9.2,-2.83,;-9.2,-4.37,;-7.86,-5.14,;-10.53,-2.06,;-11.86,-2.83,;-13.2,-2.06,;-13.2,-.52,;-14.53,.25,;-15.86,-.52,;-15.86,-2.06,;-14.53,-2.83,;-14,-1.72,;-14,-.66,;-14.53,1.79,;-15.86,2.56,;-13.2,2.56,;-10.53,-.52,;-9.2,.25,;-9.2,1.79,)|",0.064
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1C)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC[C@H](C2)C(O)=O)cc1Cl |r|,61
COc1nc(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1C)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC[C@H](C2)C(O)=O)cc1Cl |r|,0.064
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2cnc([C@@H](C)NC[C@H]3CCC(=O)N3)c(OC)n2)c(Cl)cc1CN1CC[C@H](C1)C(O)=O |r|,89
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2cnc([C@@H](C)NC[C@H]3CCC(=O)N3)c(OC)n2)c(Cl)cc1CN1CC[C@H](C1)C(O)=O |r|,0.064
"COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2C)-c2cnc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)c(Cl)cc1CN1CC2(CCC1CC2)C(O)=O |r,wU:29.31,wD:6.5,(-7.86,-5.14,;-9.2,-4.37,;-9.2,-2.83,;-7.86,-2.06,;-7.86,-.52,;-6.53,.25,;-5.19,-.52,;-4.57,-1.92,;-3.04,-1.76,;-2.72,-.25,;-4.05,.52,;-4.05,2.06,;-2.72,2.83,;-1.38,2.06,;-1.38,.52,;-.05,-.25,;-.05,-1.79,;1.28,-2.56,;2.62,-1.79,;2.62,-.25,;1.28,.52,;1.28,2.06,;3.95,.52,;5.29,-.25,;6.62,.52,;6.62,2.06,;7.95,2.83,;9.29,2.06,;10.62,2.83,;11.95,2.06,;11.95,.52,;13.42,.04,;14.32,1.29,;15.86,1.29,;13.42,2.53,;5.29,2.83,;5.29,4.37,;3.95,5.14,;3.95,2.06,;-9.2,.25,;-9.2,1.79,;-10.53,-.52,;-10.53,-2.06,;-11.86,-2.83,;-13.2,-2.06,;-13.2,-.52,;-14.53,.25,;-15.86,-.52,;-15.86,-2.06,;-14.53,-2.83,;-14,-1.72,;-14,-.66,;-14.53,1.79,;-15.86,2.56,;-13.2,2.56,)|",67
"COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2C)-c2cnc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)c(Cl)cc1CN1CC2(CCC1CC2)C(O)=O |r,wU:29.31,wD:6.5,(-7.86,-5.14,;-9.2,-4.37,;-9.2,-2.83,;-7.86,-2.06,;-7.86,-.52,;-6.53,.25,;-5.19,-.52,;-4.57,-1.92,;-3.04,-1.76,;-2.72,-.25,;-4.05,.52,;-4.05,2.06,;-2.72,2.83,;-1.38,2.06,;-1.38,.52,;-.05,-.25,;-.05,-1.79,;1.28,-2.56,;2.62,-1.79,;2.62,-.25,;1.28,.52,;1.28,2.06,;3.95,.52,;5.29,-.25,;6.62,.52,;6.62,2.06,;7.95,2.83,;9.29,2.06,;10.62,2.83,;11.95,2.06,;11.95,.52,;13.42,.04,;14.32,1.29,;15.86,1.29,;13.42,2.53,;5.29,2.83,;5.29,4.37,;3.95,5.14,;3.95,2.06,;-9.2,.25,;-9.2,1.79,;-10.53,-.52,;-10.53,-2.06,;-11.86,-2.83,;-13.2,-2.06,;-13.2,-.52,;-14.53,.25,;-15.86,-.52,;-15.86,-2.06,;-14.53,-2.83,;-14,-1.72,;-14,-.66,;-14.53,1.79,;-15.86,2.56,;-13.2,2.56,)|",0.064
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2C)-c2cnc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)c(Cl)cc1CN1CC[C@H](C1)C(O)=O |r|,58
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2C)-c2cnc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)c(Cl)cc1CN1CC[C@H](C1)C(O)=O |r|,0.064
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2ccc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)c(Cl)cc1CN1CCN(C)C(C1)C(O)=O |r|,43
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2ccc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)c(Cl)cc1CN1CCN(C)C(C1)C(O)=O |r|,0.064
COc1nc(ccc1CN1CC(C)(O)C1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2C[C@@H]3CCC[C@@]3(C2)C(O)=O)cc1Cl |r|,52
COc1nc(ccc1CN1CC(C)(O)C1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2C[C@@H]3CCC[C@@]3(C2)C(O)=O)cc1Cl |r|,0.064
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2ccc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)c(Cl)cc1CN1CC[C@@H](C1)C(=O)NS(C)(=O)=O |r|,41
COc1nc(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2ccc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)c(Cl)cc1CN1CC[C@@H](C1)C(=O)NS(C)(=O)=O |r|,0.064
COc1nc(ccc1CN1CC(C)(O)C1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC[C@H](C2)C(O)=O)cc1Cl |r|,20
COc1nc(ccc1CN1CC(C)(O)C1)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CN2CC[C@H](C2)C(O)=O)cc1Cl |r|,0.064
CNC(=O)C1CCN(Cc2cc(Cl)c(O[C@H]3CCc4c3cccc4-c3cccc(c3Cl)-c3ccc(CN4CC(C)(O)C4)c(OC)n3)nc2OC)C1 |r|,100
CNC(=O)C1CCN(Cc2cc(Cl)c(O[C@H]3CCc4c3cccc4-c3cccc(c3Cl)-c3ccc(CN4CC(C)(O)C4)c(OC)n3)nc2OC)C1 |r|,0.235
CNC(=O)C1CCN(Cc2ccc(nc2OC)-c2cccc(c2Cl)-c2cccc3[C@H](CCc23)Oc2nc(OC)c(CN3CCC(C3)C(=O)NC)cc2Cl)C1 |r|,59
CNC(=O)C1CCN(Cc2ccc(nc2OC)-c2cccc(c2Cl)-c2cccc3[C@H](CCc23)Oc2nc(OC)c(CN3CCC(C3)C(=O)NC)cc2Cl)C1 |r|,0.064
CNC(=O)C1CCN(Cc2cc(Cl)c(O[C@H]3CCc4c3cccc4-c3cccc(c3Cl)-c3ccc(CNC[C@@H]4CCC(=O)N4)c(OC)n3)nc2OC)C1 |r|,14
CNC(=O)C1CCN(Cc2cc(Cl)c(O[C@H]3CCc4c3cccc4-c3cccc(c3Cl)-c3ccc(CNC[C@@H]4CCC(=O)N4)c(OC)n3)nc2OC)C1 |r|,0.064
CNC(=O)CCNCc1ccc(nc1OC)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CNCCC(=O)NC)cc1Cl |r|,85
CNC(=O)CCNCc1ccc(nc1OC)-c1cccc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CNCCC(=O)NC)cc1Cl |r|,0.387
CNC(=O)CCNCc1cc(Cl)c(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2ccc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)nc1OC |r|,24
CNC(=O)CCNCc1cc(Cl)c(O[C@H]2CCc3c2cccc3-c2cccc(c2Cl)-c2ccc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)nc1OC |r|,0.111
